Key,Name,Status,Precondition,Objective,Folder,Priority,Component,Labels,Owner,Estimated Time,Coverage (Issues),Coverage (Pages),Test Script (Step-by-Step) - Step,Test Script (Step-by-Step) - Test Data,Test Script (Step-by-Step) - Expected Result,Test Script (Plain Text),Test Script (BDD)
KAN-T1,Verify Welcome Page Displays with Get Started Button,Approved,,,/Mobile App/Sign-up/Valid Test Cases,Normal,,,712020:137f6cee-63b3-40de-baf1-49186e642afd,,,,Launch the application.,,,,
,,,,,,,,,,,,,"Verify welcome page and ""Get Started"" button appear.",,,,
,,,,,,,,,,,,,"Verify redirection to the Sign-up screen page upon tapping ""Get Started"" 
button.",,,,
KAN-T2,Verify sign up with phone number,Approved,,,/Mobile App/Sign-up/Valid Test Cases,High,,Required,712020:137f6cee-63b3-40de-baf1-49186e642afd,,,,Launch the application.,,,,
,,,,,,,,,,,,,"Verify welcome page and ""Get Started"" button appear.",,,,
,,,,,,,,,,,,,"Verify redirection to the Sign-up screen page upon tapping ""Get Started"" 
button.",,,,
,,,,,,,,,,,,,Enter country code and verify flag updates.,0020 ,Display the country flag.,,
,,,,,,,,,,,,,Enter valid phone number for country Flag.,01005315572 ,Receive 4-digits OTP via messages.,,
,,,,,,,,,,,,,Launch the application.,,,,
,,,,,,,,,,,,,"Verify welcome page and ""Get Started"" button appear.",,,,
,,,,,,,,,,,,,"Verify redirection to the Sign-up screen page upon tapping ""Get Started"" 
button.",,,,
,,,,,,,,,,,,,Enter country code and verify flag updates.,02 ,Display the country flag.,,
,,,,,,,,,,,,,Enter valid phone number for country Flag.,1005315572 ,Receive 4-digits OTP via messages.,,
,,,,,,,,,,,,,Launch the application.,,,,
,,,,,,,,,,,,,"Verify welcome page and ""Get Started"" button appear.",,,,
,,,,,,,,,,,,,"Verify redirection to the Sign-up screen page upon tapping ""Get Started"" 
button.",,,,
,,,,,,,,,,,,,Enter country code and verify flag updates.,+20 ,Display the country flag.,,
,,,,,,,,,,,,,Enter valid phone number for country Flag.,Valid Phone Number ,Receive 4-digits OTP via messages.,,
KAN-T3,Verify OTP Verification,Approved,,,/Mobile App/Sign-up/Valid Test Cases,High,,Required,712020:137f6cee-63b3-40de-baf1-49186e642afd,,,,Launch the application.,,,,
,,,,,,,,,,,,,"Verify welcome page and ""Get Started"" button appear.",,,,
,,,,,,,,,,,,,"Verify redirection to the Sign-up screen page upon tapping ""Get Started"" 
button.",,,,
,,,,,,,,,,,,,Enter country code and verify flag updates.,0020 ,Display the country flag.,,
,,,,,,,,,,,,,Enter valid phone number for country Flag.,01005315572 ,Receive 4-digits OTP via messages.,,
,,,,,,,,,,,,,Launch the application.,,,,
,,,,,,,,,,,,,"Verify welcome page and ""Get Started"" button appear.",,,,
,,,,,,,,,,,,,"Verify redirection to the Sign-up screen page upon tapping ""Get Started"" 
button.",,,,
,,,,,,,,,,,,,Enter country code and verify flag updates.,02 ,Display the country flag.,,
,,,,,,,,,,,,,Enter valid phone number for country Flag.,1005315572 ,Receive 4-digits OTP via messages.,,
,,,,,,,,,,,,,Launch the application.,,,,
,,,,,,,,,,,,,"Verify welcome page and ""Get Started"" button appear.",,,,
,,,,,,,,,,,,,"Verify redirection to the Sign-up screen page upon tapping ""Get Started"" 
button.",,,,
,,,,,,,,,,,,,Enter country code and verify flag updates.,+20 ,Display the country flag.,,
,,,,,,,,,,,,,Enter valid phone number for country Flag.,Valid Phone Number ,Receive 4-digits OTP via messages.,,
,,,,,,,,,,,,,"Enter valid 4-digits OTP to Four individual fields.

",,Navigate to the Set Location page.,,
,,,,,,,,,,,,,Wait 90 seconds.,,"""Resend Code"" Button is disabled, then Automatically sending new OTP.",,
